Metric,Value
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.875224
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,1161
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-6.715937
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,1161
timing__unannotated_net__count__corner:min_ss_100C_1v60,720
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,3328
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.39640700177713406
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.4318538704429646
timing__hold__ws__corner:min_ff_n40C_1v95,0.1043273275076969
timing__setup__ws__corner:min_ff_n40C_1v95,7.688768950258566
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.104327
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,7.688769
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,720
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,171
design__max_fanout_violation__count__corner:max_tt_025C_1v80,3328
design__max_cap_violation__count__corner:max_tt_025C_1v80,3
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.4782164799512035
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.5352360928186443
timing__hold__ws__corner:max_tt_025C_1v80,0.31811576495645316
timing__setup__ws__corner:max_tt_025C_1v80,3.1024304003941734
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.318116
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,3.102430
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,720
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
